	2.300	3.690	5.090	6.460	7.850	9.220	10.62	12.01	13.38	14.79	16.63	19.67	22.70	25.74	28.77	29.99	39.83
800.0	*	*	0.000	0.724	0.000	0.000	0.000	0.000	0.000	0.000	*	*	*	*	*	*	*
1200.	*	*	0.078	0.099	0.000	0.000	0.000	1.071	0.000	0.000	-nan(	*	*	*	*	*	*
1600.	*	0.000	0.032	0.000	0.000	0.160	0.202	0.233	0.286	2.727	0.000	*	*	*	*	*	*
2000.	*	0.000	0.000	0.000	0.000	0.000	0.191	0.143	0.077	1.556	0.216	0.000	-nan(	*	*	*	*
2400.	*	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.227	0.000	0.000	0.000	0.000	*	*	*
2800.	*	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	*	*	*
3200.	*	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	*	*	*
3600.	*	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	*	*	*
4000.	*	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	*	*	*
4400.	*	0.000	0.000	0.000	-nan(	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	*	*
4800.	*	0.000	0.000	0.000	*	-nan(	0.000	0.000	*	0.000	-nan(	0.000	0.000	0.000	0.000	*	*
5200.	*	-nan(	0.000	0.000	0.000	0.000	0.000	0.000	-nan(	0.000	0.000	-nan(	0.000	0.000	0.000	*	*
5600.	*	*	0.000	0.000	0.000	0.000	0.000	*	*	0.000	0.000	*	0.000	0.000	0.000	*	*
6000.	*	*	0.000	0.000	-nan(	0.000	*	0.000	0.000	*	-nan(	0.000	*	0.000	*	*	*
6400.	*	*	0.000	*	*	0.000	0.000	*	*	*	0.000	*	0.000	0.000	*	*	*
6800.	*	*	*	0.000	*	*	*	-nan(	*	*	*	0.000	0.000	0.000	*	*	*
7200.	*	*	*	*	*	*	*	*	*	*	*	*	*	0.000	*	*	*
7600.	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
