	2.300	3.690	5.090	6.460	7.850	9.220	10.62	12.01	13.38	14.79	16.63	19.67	22.70	25.74	28.77	29.99	39.83
800.0	*	*	0	1.972	0	0	0	0	0	0	*	*	*	*	*	*	*
1200.	*	*	0.999	0.439	0	0	0	2.108	0	0	0	*	*	*	*	*	*
1600.	*	0	0.196	0	0	0.635	0.781	0.692	0.773	5.179	0	*	*	*	*	*	*
2000.	*	0	0	0	0	0	0.903	0.658	0.286	4.921	0.660	0	0	*	*	*	*
2400.	*	0	0	0	0	0	0	0	0	0.731	0	0	0	0	*	*	*
2800.	*	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*
3200.	*	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*
3600.	*	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*
4000.	*	0.634	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*
4400.	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*
4800.	*	0	0	0	*	0	0	0	*	0	0	0	0	0	0	*	*
5200.	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*
5600.	*	*	0	0	0	0	0	*	*	0	0	*	0	0	0	*	*
6000.	*	*	0	0	0	0	*	0	0	*	0	0	*	0	*	*	*
6400.	*	*	0	*	*	0	0	*	*	*	0	*	0	0	*	*	*
6800.	*	*	*	0	*	*	*	0	*	*	*	0	0	0	*	*	*
7200.	*	*	*	*	*	*	*	*	*	*	*	*	*	0	*	*	*
7600.	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
